PV_Origin,PV_Destination,PV_Distance_km,PV_Year,DV_Quantity_Rice
"Allah Valley, South Cotabato",Manila,1002.93,1995,
"Allah Valley, South Cotabato",Manila,1002.93,1996,
"Allah Valley, South Cotabato",Manila,1002.93,1997,
"Allah Valley, South Cotabato",Manila,1002.93,1998,
"Allah Valley, South Cotabato",Manila,1002.93,1999,
"Allah Valley, South Cotabato",Manila,1002.93,2000,
"Allah Valley, South Cotabato",Manila,1002.93,2001,
"Allah Valley, South Cotabato",Manila,1002.93,2002,
"Allah Valley, South Cotabato",Manila,1002.93,2003,
"Allah Valley, South Cotabato",Manila,1002.93,2004,
"Allah Valley, South Cotabato",Manila,1002.93,2005,
"Allah Valley, South Cotabato",Manila,1002.93,2006,
"Allah Valley, South Cotabato",Manila,1002.93,2007,
"Allah Valley, South Cotabato",Manila,1002.93,2008,
"Allah Valley, South Cotabato",Manila,1002.93,2009,
"Allah Valley, South Cotabato",Manila,1002.93,2010,
"Allah Valley, South Cotabato",Manila,1002.93,2011,
"Allah Valley, South Cotabato",Manila,1002.93,2012,
"Allah Valley, South Cotabato",Manila,1002.93,2013,
"Allah Valley, South Cotabato",Manila,1002.93,2014,
"Allah Valley, South Cotabato",Manila,1002.93,2015,
"Allah Valley, South Cotabato",Manila,1002.93,2016,152
"Allah Valley, South Cotabato",Manila,1002.93,2017,
"Allah Valley, South Cotabato",Manila,1002.93,2018,
"Allah Valley, South Cotabato",Manila,1002.93,2019,
"Allah Valley, South Cotabato",Manila,1002.93,2020,
"Allah Valley, South Cotabato",Manila,1002.93,2021,
"Allah Valley, South Cotabato",Manila,1002.93,2022,
Bacolod City,Manila,484.95,1995,28739
Bacolod City,Manila,484.95,1996,7068
Bacolod City,Manila,484.95,1997,28739
Bacolod City,Manila,484.95,1998,345
Bacolod City,Manila,484.95,1999,
Bacolod City,Manila,484.95,2000,
Bacolod City,Manila,484.95,2001,
Bacolod City,Manila,484.95,2002,
Bacolod City,Manila,484.95,2003,
Bacolod City,Manila,484.95,2004,
Bacolod City,Manila,484.95,2005,
Bacolod City,Manila,484.95,2006,
Bacolod City,Manila,484.95,2007,
Bacolod City,Manila,484.95,2008,
Bacolod City,Manila,484.95,2009,
Bacolod City,Manila,484.95,2010,
Bacolod City,Manila,484.95,2011,
Bacolod City,Manila,484.95,2012,
Bacolod City,Manila,484.95,2013,
Bacolod City,Manila,484.95,2014,
Bacolod City,Manila,484.95,2015,
Bacolod City,Manila,484.95,2016,383
Bacolod City,Manila,484.95,2017,242
Bacolod City,Manila,484.95,2018,2071953
Bacolod City,Manila,484.95,2019,362
Bacolod City,Manila,484.95,2020,
Bacolod City,Manila,484.95,2021,
Bacolod City,Manila,484.95,2022,
Bacolod City,Cebu City,110.76,1995,66
Bacolod City,Cebu City,110.76,1996,1
Bacolod City,Cebu City,110.76,1997,66
Bacolod City,Cebu City,110.76,1998,3
Bacolod City,Cebu City,110.76,1999,
Bacolod City,Cebu City,110.76,2000,
Bacolod City,Cebu City,110.76,2001,
Bacolod City,Cebu City,110.76,2002,
Bacolod City,Cebu City,110.76,2003,
Bacolod City,Cebu City,110.76,2004,
Bacolod City,Cebu City,110.76,2005,
Bacolod City,Cebu City,110.76,2006,
Bacolod City,Cebu City,110.76,2007,
Bacolod City,Cebu City,110.76,2008,
Bacolod City,Cebu City,110.76,2009,
Bacolod City,Cebu City,110.76,2010,
Bacolod City,Cebu City,110.76,2011,
Bacolod City,Cebu City,110.76,2012,
Bacolod City,Cebu City,110.76,2013,
Bacolod City,Cebu City,110.76,2014,
Bacolod City,Cebu City,110.76,2015,
Bacolod City,Cebu City,110.76,2016,
Bacolod City,Cebu City,110.76,2017,
Bacolod City,Cebu City,110.76,2018,
Bacolod City,Cebu City,110.76,2019,50
Bacolod City,Cebu City,110.76,2020,
Bacolod City,Cebu City,110.76,2021,
Bacolod City,Cebu City,110.76,2022,
Bacolod City,Davao City,496.41,1995,254
Bacolod City,Davao City,496.41,1996,
Bacolod City,Davao City,496.41,1997,254
Bacolod City,Davao City,496.41,1998,
Bacolod City,Davao City,496.41,1999,58
Bacolod City,Davao City,496.41,2000,
Bacolod City,Davao City,496.41,2001,
Bacolod City,Davao City,496.41,2002,
Bacolod City,Davao City,496.41,2003,
Bacolod City,Davao City,496.41,2004,
Bacolod City,Davao City,496.41,2005,
Bacolod City,Davao City,496.41,2006,
Bacolod City,Davao City,496.41,2007,
Bacolod City,Davao City,496.41,2008,
Bacolod City,Davao City,496.41,2009,
Bacolod City,Davao City,496.41,2010,
Bacolod City,Davao City,496.41,2011,
Bacolod City,Davao City,496.41,2012,
Bacolod City,Davao City,496.41,2013,
Bacolod City,Davao City,496.41,2014,
Bacolod City,Davao City,496.41,2015,
Bacolod City,Davao City,496.41,2016,3393
Bacolod City,Davao City,496.41,2017,
Bacolod City,Davao City,496.41,2018,
Bacolod City,Davao City,496.41,2019,
Bacolod City,Davao City,496.41,2020,
Bacolod City,Davao City,496.41,2021,
Bacolod City,Davao City,496.41,2022,
Bacolod City,Zamboanga City,319.23,1995,
Bacolod City,Zamboanga City,319.23,1996,
Bacolod City,Zamboanga City,319.23,1997,
Bacolod City,Zamboanga City,319.23,1998,1
Bacolod City,Zamboanga City,319.23,1999,
Bacolod City,Zamboanga City,319.23,2000,
Bacolod City,Zamboanga City,319.23,2001,
Bacolod City,Zamboanga City,319.23,2002,
Bacolod City,Zamboanga City,319.23,2003,
Bacolod City,Zamboanga City,319.23,2004,
Bacolod City,Zamboanga City,319.23,2005,
Bacolod City,Zamboanga City,319.23,2006,
Bacolod City,Zamboanga City,319.23,2007,
Bacolod City,Zamboanga City,319.23,2008,
Bacolod City,Zamboanga City,319.23,2009,
Bacolod City,Zamboanga City,319.23,2010,
Bacolod City,Zamboanga City,319.23,2011,
Bacolod City,Zamboanga City,319.23,2012,
Bacolod City,Zamboanga City,319.23,2013,
Bacolod City,Zamboanga City,319.23,2014,
Bacolod City,Zamboanga City,319.23,2015,
Bacolod City,Zamboanga City,319.23,2016,
Bacolod City,Zamboanga City,319.23,2017,
Bacolod City,Zamboanga City,319.23,2018,
Bacolod City,Zamboanga City,319.23,2019,
Bacolod City,Zamboanga City,319.23,2020,
Bacolod City,Zamboanga City,319.23,2021,
Bacolod City,Zamboanga City,319.23,2022,
Bacolod City,General Santos City,566.22,1995,
Bacolod City,General Santos City,566.22,1996,
Bacolod City,General Santos City,566.22,1997,
Bacolod City,General Santos City,566.22,1998,
Bacolod City,General Santos City,566.22,1999,
Bacolod City,General Santos City,566.22,2000,
Bacolod City,General Santos City,566.22,2001,
Bacolod City,General Santos City,566.22,2002,
Bacolod City,General Santos City,566.22,2003,
Bacolod City,General Santos City,566.22,2004,
Bacolod City,General Santos City,566.22,2005,
Bacolod City,General Santos City,566.22,2006,51
Bacolod City,General Santos City,566.22,2007,
Bacolod City,General Santos City,566.22,2008,
Bacolod City,General Santos City,566.22,2009,
Bacolod City,General Santos City,566.22,2010,
Bacolod City,General Santos City,566.22,2011,
Bacolod City,General Santos City,566.22,2012,
Bacolod City,General Santos City,566.22,2013,
Bacolod City,General Santos City,566.22,2014,
Bacolod City,General Santos City,566.22,2015,
Bacolod City,General Santos City,566.22,2016,
Bacolod City,General Santos City,566.22,2017,
Bacolod City,General Santos City,566.22,2018,
Bacolod City,General Santos City,566.22,2019,
Bacolod City,General Santos City,566.22,2020,
Bacolod City,General Santos City,566.22,2021,
Bacolod City,General Santos City,566.22,2022,
Bacolod City,Legazpi City,286.77,1995,
Bacolod City,Legazpi City,286.77,1996,
Bacolod City,Legazpi City,286.77,1997,
Bacolod City,Legazpi City,286.77,1998,
Bacolod City,Legazpi City,286.77,1999,43
Bacolod City,Legazpi City,286.77,2000,
Bacolod City,Legazpi City,286.77,2001,
Bacolod City,Legazpi City,286.77,2002,
Bacolod City,Legazpi City,286.77,2003,
Bacolod City,Legazpi City,286.77,2004,
Bacolod City,Legazpi City,286.77,2005,
Bacolod City,Legazpi City,286.77,2006,
Bacolod City,Legazpi City,286.77,2007,
Bacolod City,Legazpi City,286.77,2008,
Bacolod City,Legazpi City,286.77,2009,
Bacolod City,Legazpi City,286.77,2010,
Bacolod City,Legazpi City,286.77,2011,
Bacolod City,Legazpi City,286.77,2012,
Bacolod City,Legazpi City,286.77,2013,
Bacolod City,Legazpi City,286.77,2014,
Bacolod City,Legazpi City,286.77,2015,
Bacolod City,Legazpi City,286.77,2016,
Bacolod City,Legazpi City,286.77,2017,
Bacolod City,Legazpi City,286.77,2018,
Bacolod City,Legazpi City,286.77,2019,
Bacolod City,Legazpi City,286.77,2020,
Bacolod City,Legazpi City,286.77,2021,
Bacolod City,Legazpi City,286.77,2022,
Bacolod City,"Virac, Catanduanes",351.65,1995,
Bacolod City,"Virac, Catanduanes",351.65,1996,50
Bacolod City,"Virac, Catanduanes",351.65,1997,
Bacolod City,"Virac, Catanduanes",351.65,1998,
Bacolod City,"Virac, Catanduanes",351.65,1999,
